site,safra,depth,PH_CACL2,PH_AGUA,MO_GDM3,P_meh_MG_DM3,P_res_MG_DM3,K_MG_DM3,CA_CMOLCDM3,MG_CMOLCDM3,AL_CMOLCDM3,H_Al_CMOLCDM3,SOM_BASES,CTC,SAT_BASES,S_MG_DM3,ZN_MG_DM3,B_MG_DM3,CU_MG_DM3,MN_MG_DM3,FE_MG_DM3,REL_CAMG,SATPOR_K,SATPOR_CA,SATPOR_MG,SATPOR_H,SATDE_AL,ARGILA
maracaju,2014-2015,00-20,5.6,6.1,35,13,52.88,0.61,6.1,1.8,0.1,3.1,8.6,11.6,74,5,0.19,0.19,1.69,8.19,9.47,3.33,5.22,52.58,15.78,29.31,0,57.7
maracaju,2014-2015,20-40,4.7,5.1,20,2,52.88,0.22,3.1,1.1,0.4,4.7,4.5,9.1,49,58,1.52,0.33,5.9,39.1,87.5,2.82,2.44,34.28,12.17,45.2,0,67
naviraí,2014-2015,00-20,4.53,5.16,16.43,23.31,9,0.06,1.4,0.75,0.14,3.4,2.21,5.61,39.39,4.12,2.6,0.31,0.87,74.76,141.72,1.87,1.07,24.96,13.37,58.11,5.96,15
naviraí,2014-2015,20-40,4.37,5,8.16,4.29,3.8,0.06,0.6,0.4,0.24,2.53,1.06,3.59,29.53,7.35,0.84,0.22,0.72,35.95,146.65,1.5,1.67,16.71,11.14,63.79,18.46,21
dourados,2014-2015,00-20,5.8,6.41,33.91,19.25,52.88,0.22,7.85,1.15,0,4.09,9.22,13.31,69.27,2.7,4.49,0.29,13.26,107.39,26.46,6.83,1.65,58.98,8.64,30.73,0,45
dourados,2014-2015,20-40,5.04,5.66,24.1,1.8,52.88,0.07,4,1,0,4.89,5.07,9.96,50.9,15.14,1.52,0.21,12.64,46.05,44.37,4,0.7,40.16,10.04,49.1,0,55
riobrilhante,2014-2015,00-20,5.16,5.77,29.02,11.23,52.88,0.24,4.45,1.3,0,5.14,5.99,11.13,53.82,15.71,2.53,0.27,9.16,96.63,63.81,3.42,2.16,39.98,11.68,46.18,0,41
riobrilhante,2014-2015,20-40,5.25,5.87,20.79,1.53,52.88,0.09,2.82,0.93,0,4.27,3.84,8.11,47.35,65.67,1.45,0.23,8.25,45.24,81.56,3.03,1.11,34.77,11.47,52.65,0,51
caarapó,2014-2015,00-20,5.3,6.1,39.43,16.82,52.88,0.77,6.53,1.22,0,4.83,8.52,13.35,63.82,7.9,0.9,0.43,10.7,71.3,26.46,5.35,5.77,48.91,9.14,39.2,0,54.7
caarapó,2014-2015,20-40,5.04,5.66,35.34,28.2,52.88,0.61,3,2.6,0.3,2.9,2.7,5.89,66,48.38,6.6,0.19,4.52,27.4,41.95,5.35,3.55,52.58,10.89,55.8,4.5,64
amambaí,2014-2015,00-20,6.28,6.88,30.52,11.66,5,0.36,8.55,1.4,0,2.53,10.31,12.84,80.3,7.54,5.36,0.43,8.4,183.42,26.57,6.11,2.8,66.59,10.9,19.7,0,31
amambaí,2014-2015,20-40,6,6.62,22.2,2.94,3.8,0.25,7.55,1.15,0,2.68,8.95,11.63,76.96,11.38,2.63,0.42,5.39,120.14,30.91,6.57,2.15,64.92,9.89,23.04,0,38
antôniojoão,2014-2015,00-20,4.62,5.22,35.34,14.18,52.88,0.36,3.6,0.95,0.49,6.37,4.91,11.28,43.53,26.88,1.39,0.24,4.68,18.41,33.06,3.79,3.19,31.91,8.42,52.3,0,67
antôniojoão,2014-2015,20-40,4.27,4.89,24.46,1.97,52.88,0.1,1.2,0.7,1.85,6.59,2,8.59,23.28,82.66,0.74,0.23,4.52,12.26,36.99,1.71,1.16,13.97,8.15,55.8,12.1,70
sidrolândia,2014-2015,00-20,5.26,5.86,36.62,31.28,52.88,0.34,4.95,1.6,0,7.1,6.89,13.99,49.25,19.29,4.56,0.44,10.75,95.75,28.72,3.09,2.43,35.38,11.44,50.75,0,47
