site,safra,depth,PH_CACL2,PH_AGUA,MO_GDM3,P_meh_MG_DM3,P_res_MG_DM3,K_MG_DM3,CA_CMOLCDM3,MG_CMOLCDM3,AL_CMOLCDM3,H_Al_CMOLCDM3,SOM_BASES,CTC,SAT_BASES,S_MG_DM3,ZN_MG_DM3,B_MG_DM3,CU_MG_DM3,MN_MG_DM3,FE_MG_DM3,REL_CAMG,SATPOR_K,SATPOR_CA,SATPOR_MG,SATPOR_H,SATDE_AL,ARGILA
sidrolândia,2017-2018,00-20,5.5,6.1,33.2,5.6,52.88,0.5,6.4,1.6,0,3.8,8.4,12.2,68.9,6.3,4.1,0.3,8.1,76.4,20.4,4,3.8,52,13.1,31,0,52.2
sidrolândia,2017-2018,20-40,5.1,5.8,18.4,2.6,52.88,0.1,3.2,0.9,0,3.7,4.3,7.9,53.8,41.4,5.2,0.2,9,39.1,28.4,3.4,1.8,40.2,11.9,46.2,0,50.3
sãogabrieldooeste,2017-2018,00-20,4.85,4.89,24.46,44.45,9.25,0.39,3.23,1.2,0.18,6.1,4.82,10.95,43,31.85,234.89,0.55,16.58,28.81,57.5,2.65,3.55,28.75,10.7,54,1.7,52.5
sãogabrieldooeste,2017-2018,20-40,4.4,4.89,17.9,5.8,32.76,0.25,0.64,0.34,0.32,5.7,1.23,6.9,17.8,75,19.63,0.49,4.93,6.89,50,1.9,3.6,9.3,4.9,78,4.6,60
dourados,2017-2018,00-20,5,5.7,27.4,11.8,52.88,0.22,5.3,1.4,0,5.7,6.9,12.7,54.8,23.7,2.5,0.37,12.1,79.5,24.1,3.7,1.7,41.8,11.2,45.2,0,60.2
dourados,2017-2018,20-40,4.7,5.5,20.4,1.6,52.88,0.03,3.2,0.8,0.4,5,4.1,9.1,44.7,47.3,1.3,0.29,8.9,51.2,26.2,3.8,0.3,35.2,9.2,50.8,4.5,62.3
amambaí,2017-2018,00-20,4.9,5.7,23.4,11.1,52.88,0.25,3.6,1.1,0,4.7,4.9,9.6,50.8,18,2,0.43,6.7,60.4,36.6,3.3,2.6,37,11.2,49.2,0,44.7
amambaí,2017-2018,20-40,4.6,5.4,17.9,2.6,52.88,0.2,2.9,1.1,0.3,6,4.2,10.2,41.3,44.1,1.4,0.27,6.7,44.8,38,2.7,2,28.8,10.5,55.6,3,50.3
campograndeembrapa,2017-2018,00-20,4.6,5.4,23.4,1,52.88,0.04,1.1,0.4,0.2,4.8,1.5,6.3,24.4,13.8,1.5,0.23,6.3,45.3,34.5,3,0.6,17.8,6,72.7,2.8,50.1
campograndeembrapa,2017-2018,20-40,4.7,5.5,29.2,2.7,52.88,0.18,1.8,0.7,0.1,4.7,2.6,7.4,35.8,22.9,1,0.25,6.3,58,32.2,2.6,2.4,24.2,9.2,63.1,1.1,56.6
campograndeestânciacláudia,2017-2018,00-20,5.6,6.2,40.2,3,52.88,0.37,4,1.4,0,3.8,5.7,9.6,60,33.8,1.4,0.38,6.8,47.5,33.6,2.8,3.9,41.4,14.7,40,0,54.7
campograndeestânciacláudia,2017-2018,20-40,5.5,6.1,23.9,0.5,52.88,0.13,1.6,0.7,0,3.2,2.5,5.6,43.8,16.9,0.9,0.19,5.9,20.6,26.6,2.2,2.3,28.7,12.8,56.2,0,51.9
bonito,2017-2018,00-20,4.9,5.6,30.2,9,52.88,0.1,6.1,2,0,4.9,8.2,13.2,62.6,12.4,2,0.51,1.8,103.1,20.2,3.1,0.8,46.6,15.2,37.4,0,34.7
bonito,2017-2018,20-40,5.2,5.9,18.9,1.4,52.88,0.01,4.7,1.5,0,3.2,6.1,9.3,66,28.7,0.9,0.26,1,44.2,15.7,3.2,0.1,50.3,15.6,34,0,36.5
antôniojoão,2017-2018,00-20,5.2,6.1,49.8,11.4,52.88,0.72,4,1.5,0,5.7,6.2,12,52.1,7,1,0.63,5.67,40.82,58,2.7,6.1,33.5,12.5,47.9,0,14
antôniojoão,2017-2018,20-40,4.8,5.5,38.9,2.1,52.88,0.55,2,0.7,0.1,5.3,3.3,8.7,38.2,10.2,2,0.36,5.9,18.41,79,2.7,6.5,23.1,8.7,60.3,3.8,52.5
caarapó,2017-2018,00-20,5.1,5.76,19.8,13.4,9.25,0.68,5.1,1.2,0,3.19,7,12.1,57.8,2,1.52,0.55,7.74,96.63,31,4.4,5.6,42.5,9.6,0,0,15
caarapó,2017-2018,20-40,5.4,5.86,11.1,2.6,9,0.33,6.2,1.1,0,3,7.6,11.4,66.6,6,3.76,0.27,5.9,3.5,26.46,5.4,2.9,53.8,10,0,0,21
