site,safra,depth,PH_CACL2,PH_AGUA,MO_GDM3,P_meh_MG_DM3,P_res_MG_DM3,K_MG_DM3,CA_CMOLCDM3,MG_CMOLCDM3,AL_CMOLCDM3,H_Al_CMOLCDM3,SOM_BASES,CTC,SAT_BASES,S_MG_DM3,ZN_MG_DM3,B_MG_DM3,CU_MG_DM3,MN_MG_DM3,FE_MG_DM3,REL_CAMG,SATPOR_K,SATPOR_CA,SATPOR_MG,SATPOR_H,SATDE_AL,ARGILA
sonora,2010,20-40,4.5,5.2,22,6,11,0.1,0.64,0.45,0.4,4.2,1.3,5.5,23.5,17.3,0.8,0.4,1.35,61.01,94.6,2,1.6,14.5,7.3,69.2,7.3,15.8
maracaju,2011,00-20,4.8,5.5,43,9,60,0.48,5.1,1.6,0,3.4,7.2,10.6,67.9,15.1,7.2,0.4,5.4,20,170,3.2,4.5,48.2,15.1,32.1,0,63.2
maracaju,2011,20-40,4.6,5.3,31,7,16,0.12,2.7,0.8,0.2,4.2,3.6,7.8,46.3,38,1,0.33,1.35,60.9,22.21,2.5,1.5,32,12.8,52.1,2.6,37
sidrolândia,2011,00-20,5.24,5.84,35.7,40.58,42,0.56,6.35,1.7,0,6.11,8.61,14.7,58.49,25.17,72,0.52,11.5,61.01,59.86,3.74,3.8,43.14,11.55,41.51,0,53
sidrolândia,2011,20-40,4.49,5.12,19.1,2.12,13.91,0.19,1.65,0.8,0.3,5.67,2.59,8.2,31.36,84.77,10,0.15,8.2,12.6,33.47,2.43,2.3,20.58,8.47,65.01,10.38,64
riobrilhante,2011,00-20,5.44,6.05,30.8,8.62,48,0.46,3.75,2,0,4.24,6.21,10.5,59.43,8.98,4.27,0.47,11.5,125.5,87.77,1.88,4.4,35.89,19.14,40.57,0,55
riobrilhante,2011,20-40,5.06,5.69,16.8,1.29,13.91,0.15,1.6,1,0,3.72,2.9,6.6,43.81,75.05,6,0.4,7.5,45.24,73.71,2.06,2.27,27.95,13.6,56.19,0,53.9
dourados,2011,00-20,5.1,5.6,42.4,6.08,47.4,0.47,7.9,2.3,0,4.98,10.7,15.7,68.5,6.2,2.4,1.14,12.5,171.1,18.23,3.43,3,50.48,14.7,31.82,0,62
dourados,2011,20-40,5.3,5.91,29.5,4.09,14.92,0.29,6.8,2.3,0,3.87,9.4,13.3,70.9,13.37,1.45,0.32,9.2,27.4,25.59,3.07,1.96,51.96,16.94,29.14,0,55.2
aralmoreira,2011,00-20,4.99,5.59,42.2,4.75,95,0.82,4.15,1.6,0,6.22,6.57,12.8,51.37,40.36,72,0.52,6.19,61.01,71.96,2.59,6.41,32.45,12.51,48.63,0,65
aralmoreira,2011,20-40,4.95,5.57,32.3,0.53,4.1,0.19,2.15,1.5,0,5.86,3.94,9.8,40.2,50.32,3.4,0.3,15.13,45.24,12.5,2,1.94,25.51,12.76,59.8,0,53
naviraí,2011,00-20,5.44,6.06,21.9,7.15,20.2,0.16,2.15,1.05,0,1.46,3.36,4.82,69.71,10.93,3.06,0.64,0.99,87.79,231.9,2.05,3.32,44.61,21.78,30.29,0,12
naviraí,2011,20-40,4.68,5.31,10.8,2.9,4.1,0.05,2,1.1,0.24,5.56,2.45,8.81,30.59,156.1,2.53,0.15,5.4,20,17.65,1.67,0.62,18.73,11.24,66.42,8.92,45.2
sãogabrieldooeste,2011,00-20,4.8,5.4,36,8,48,0.17,3,1,0,3.8,4.17,7.97,52.32,19.6,10,0.3,1.5,3.5,113,3,2.1,37.6,12.5,47.7,0,59.5
sãogabrieldooeste,2011,20-40,4.6,5.2,24,6,14.92,0.1,0.6,0.5,0.2,4.5,1.4,5.9,23.73,15.2,3,0.4,0.9,28.52,63.81,2.3,1.7,15.3,6.8,72.9,3.4,38
sonora,2011,00-20,4.8,5.4,36,8,34.43,0.17,3,1,0,3.8,4.17,7.97,52.32,19.6,10,0.3,1.5,3.5,113,3,2.1,37.6,12.5,47.7,0,59.5
sonora,2011,20-40,4.6,5.2,24,6,3,0.1,0.13,1,0.2,4.5,1.4,5.9,23.73,15.2,1.2,0.64,5.4,27.4,22.21,2.3,1.7,15.3,6.8,72.9,3.4,55.2
naviraí,2012,00-20,5.45,6.08,16.9,13.65,13.91,0.14,1.6,1,0,1.89,2.74,4.63,59.18,6.89,2.62,0.41,0.49,75.82,91.78,1.6,3.02,34.56,21.6,40.82,0,15
naviraí,2012,20-40,4.59,5.22,10.1,3.13,11,0.13,0.13,0.55,0.15,2.55,1.53,4.08,37.5,5.71,2.9,0.1,1.7,60.9,212,1.55,3.19,20.83,13.48,58.82,8.93,31
dourados,2012,00-20,5.1,5.6,42.4,6.08,47.4,0.47,7.9,2.3,0,4.98,10.7,15.7,68.2,6.2,2.4,1.14,12.5,171.1,18.23,3.43,3,50.48,14.7,31.82,0,62
dourados,2012,20-40,5.3,5.91,29.5,4.09,32,0.29,7,2,0,3.87,9.4,13.3,70.9,13.37,2.86,0.8,10.25,171.1,81.56,3.07,1.96,51.96,16.94,29.14,0,41
riobrilhante,2012,00-20,5.39,6,26.86,1.99,11.67,0.27,3.75,1.75,0,4,5.77,9.77,59.06,8.45,2.65,0.19,11.06,107.42,88.26,2.14,2.76,38.38,17.91,40.94,0,39
riobrilhante,2012,20-40,5.36,5.98,20.07,0.85,15.6,0.12,2.45,1.3,0,3.13,3.88,7,55.29,71.8,46.25,0.33,8.25,40.82,87.77,1.88,1.71,35,18.57,44.71,0,50
maracaju,2012,00-20,5.21,5.82,27.41,5.18,14.71,0.34,4.1,1.2,0,4.59,5.64,10.23,55.13,34.55,1.91,0.13,6.12,66.88,137.56,3.42,3.32,40.08,11.73,44.87,0,39
maracaju,2012,20-40,4.69,5.31,21.19,1.39,13.91,0.1,2.15,1,0.34,5.17,3.25,8.42,38.6,120.62,1,0.4,12.47,57.7,12.5,2.15,1.19,25.53,11.88,57.36,9.47,59.5
sidrolândia,2012,00-20,5.37,5.98,34.1,7.9,13.9,0.43,6.15,1.1,0,5.31,7.68,12.99,59.12,16.23,10.58,0.45,10.03,57.34,17.65,5.59,3.31,47.34,8.47,40.88,0,42
sidrolândia,2012,20-40,5.31,5.93,34.53,2.65,15.6,0.23,3.95,1.05,0,4,5.23,9.23,56.66,78.12,0.7,0.3,1.5,3.5,26,3.76,2.49,42.8,11.38,43.34,0,55.7
sãogabrieldooeste,2012,00-20,4.85,5.46,30.18,7.51,26.61,0.2,2.25,0.9,0.1,5.17,3.35,8.52,39.32,7.25,4.06,0.32,1.35,17.79,41.13,2.5,2.35,26.41,10.56,59.51,2.9,39
sãogabrieldooeste,2012,20-40,4.57,5.19,25.42,1.46,14.92,0.13,0.9,0.35,0.39,4.44,5.82,5.82,23.71,28.47,72,0.3,13.22,183.4,170,2.57,2.23,15.46,6.01,69.59,22.03,43
aralmoreira,2013,00-20,4.99,5.59,4.22,4.75,71,0.82,4.15,1.6,0,6.22,6.57,12.8,51.37,40.36,72,0.52,6.19,61.01,71.96,2.59,6.41,32.45,12.51,48.63,0,65
aralmoreira,2013,20-40,4.95,5.57,3.23,0.53,11,0.12,2.1,1.8,0,5.86,3.94,9.8,40.2,50.32,5.53,0.12,6.12,5.3,18,2,1.94,25.51,12.76,59.8,0,54
naviraí,2013,00-20,5.55,6.17,12.15,16.23,14.92,0.25,1.65,1.05,0,1.4,2.95,4.35,67.82,7.8,2.86,0.3,1.38,72.89,73.71,1.57,5.75,37.93,24.14,32.18,0,19
naviraí,2013,20-40,5,5.63,7.97,2.51,16,0.14,1.25,0.75,0,1.7,2.14,3.84,55.73,20.07,1.45,0.22,1.1,74.76,231.9,1.67,3.65,32.55,19.53,44.27,0,12
dourados,2013,00-20,5.14,5.75,34.01,4.6,17.12,0.36,5.65,1.85,0,4.43,7.86,12.29,63.95,20.48,2.62,0.52,15.13,68.08,36.43,3.05,2.93,45.97,15.05,36.05,0,53
dourados,2013,20-40,5,5.62,22.83,1.76,11.67,0.18,4.4,1,0,4.5,5.58,10.08,55.36,31.06,3.4,0.15,5.8,23.2,26.7,4.4,1.79,43.65,9.92,44.64,0,53
riobrilhante,2013,00-20,4.75,5.36,28.2,16.32,34.43,0.46,3.7,0.8,0.25,5.39,4.96,10.35,47.92,45.89,4.55,0.47,9.25,59.07,42.87,4.63,4.44,35.75,7.73,49.66,4.8,56
riobrilhante,2013,20-40,5.2,5.83,18.49,2.82,60,0.37,2.15,0.75,0,3.84,3.27,7.11,45.99,240.84,1,0.49,0.67,3.5,231.9,2.87,5.2,30.24,10.55,54.01,0,53
sidrolândia,2013,00-20,6.15,6.75,38.36,30.84,115.48,1.02,7.65,1.7,0,2.73,10.4,13.1,79.16,17.37,7.28,0.52,0.61,75.89,25.59,4.5,7.79,58.4,12.98,20.84,0,43
sidrolândia,2013,20-40,5.26,5.88,21.19,2.51,17.12,0.39,2.4,1.05,0,3.76,3.8,7.6,50.53,173.74,1.98,0.15,1,3.5,113,2.29,5.13,31.58,13.82,49.47,0,63.2
amambaí,2014,00-20,5.53,6.14,28.53,11.97,15.6,0.28,4.1,1.3,0,2.86,5.68,8.54,66.51,5.12,46.25,0.15,4.77,26.7,22.21,3.15,3.28,48.01,15.22,33.49,0,37
amambaí,2014,20-40,5.02,5.64,19.69,2.44,13.9,0.12,2.65,1,0,3.67,3.77,7.44,50.67,15.51,0.6,0.11,0.87,52.2,91.78,2.65,1.61,35.62,13.44,49.33,0,34
naviraí,2014,00-20,5.19,5.82,16.02,23.1,22.1,0.11,1.6,1.05,0,2.06,2.76,4.82,57.26,2.8,1.98,0.15,0.67,28.52,23.21,1.52,2.28,33.2,21.78,42.74,0,20
naviraí,2014,20-40,4.74,5.37,9.61,14.57,3,0.09,0.9,0.45,0.1,2.13,1.44,3.57,40.34,3.77,2.32,0.13,0.6,23.2,91.78,2,2.52,25.21,12.61,56.86,6.49,11.9
dourados,2014,00-20,5.53,6.13,36.62,5.3,4.1,0.19,7.35,1.65,0,4.03,9.19,13.22,69.52,4.79,8.57,0.33,10.25,40.82,21.28,4.45,1.44,55.6,12.48,30.48,0,50
dourados,2014,20-40,5.05,5.68,26.63,3.42,5.5,0.09,5.15,1,0,4.76,6.24,11,56.73,9.89,0.8,0.41,1.2,77.4,25.59,5.15,0.82,46.82,9.09,43.27,0,15.1
maracaju,2014,00-20,5.29,5.9,31.65,3.19,25.51,0.16,4.2,1.45,0,3.66,5.81,9.47,61.35,17.6,4.92,0.21,4.68,52.2,94.6,2.9,1.69,44.35,15.31,38.65,0,50
maracaju,2014,20-40,4.93,5.56,18.86,0.94,13.9,0.09,2,0.8,0,3.51,2.89,6.4,45.16,98.46,0.4,0.15,1.7,3.5,94.6,2.5,1.41,31.25,12.5,54.84,0,59.5
sidrolândia,2014,00-20,5.83,6.44,40.19,19.98,47.4,0.73,6.8,1.35,0,3.58,8.88,12.46,71.27,10.69,2.32,0.56,11.35,77.33,30.43,5.04,5.86,54.57,10.83,28.73,28.73,34
sidrolândia,2014,20-40,4.79,5.41,27.73,5.41,60,0.31,2.4,1,0.24,5.4,3.71,9.11,40.72,127.38,0.7,0.23,17.4,17.5,63.81,2.4,3.4,26.34,10.98,56.64,56.64,31
sãogabrieldooeste,2014,00-20,5.7,6.3,30,17.1,115.48,1.2,7,1.9,0,2.37,10.1,12.47,80.9,4.5,8.8,0.12,0.3,15.8,46.3,36.5,4.8,66.59,7.4,22.6,0,48.8
sãogabrieldooeste,2014,20-40,5.8,6.4,28.7,15.2,95,0.9,7.1,2.8,0,2.25,10.8,13.05,82.7,25,0.7,0.12,1.5,3.5,12,25.9,4.2,66.59,6.8,19.7,0,62
amambaí,2015,00-20,6.28,6.88,30.52,11.66,20.2,0.36,8.35,1.4,0,2.53,10.3,12.84,80.3,7.54,5.36,0.43,8.4,183.4,26.7,6.11,2.8,66.59,10.9,19.7,0,31
amambaí,2015,20-40,6,6.62,22.2,2.94,13.9,0.25,7.55,1.15,0,2.68,8.95,11.63,76.96,11.38,1.9,0.21,5.8,93.9,21.28,6.57,2.15,64.92,9.89,23.04,0,31
bonito,2015,00-20,4.88,5.49,26.63,15.32,26.61,0.13,5.95,1.45,0.05,4.13,7.53,11.66,64.58,6.62,2.29,0.39,1.17,89.52,35.84,4.1,1.11,51.03,12.44,34.99,0.66,31
bonito,2015,20-40,5.54,6.16,19.81,3.23,5.5,0.05,5.55,1.2,0,2.85,6.62,9.62,70.69,7.81,2.53,0.21,8.4,183.4,14,4.63,0.52,0.52,12.31,29.31,0,14.7
dourados,2015,00-20,4.54,5.14,32.45,29.22,11,0.34,4.3,1.25,0.24,6.66,5.89,12.55,46.93,16.31,5.53,0.54,13.22,93.9,59.86,3.44,2.71,34.26,9.96,51.16,8.14,51
dourados,2015,20-40,4.81,5.43,22.27,2.06,4.1,0.07,2.75,1.15,0.1,4.71,3.97,8.68,45.74,47.91,1.42,0.27,5.39,51.26,63.81,2.39,0.81,31.68,13.25,53.11,0,58.7
maracaju,2015,00-20,5.02,5.63,33.82,14.17,4.1,0.3,5.4,1.45,0,4.71,7.15,11.86,60.29,7.45,6.98,0.35,12.47,150.2,59.86,3.72,2.53,5.4,12.23,39.71,0,41
maracaju,2015,20-40,4.58,5.2,25.95,8.02,10,0.2,3.65,1,0.43,6.15,4.85,11,44.09,47.04,1,0.15,13.22,88.2,57.5,3.65,1.82,33.18,9.09,52,8.14,34
naviraí,2015,00-20,4.53,5.16,16.43,23.31,14.92,0.06,1.4,0.75,0.14,3.4,2.21,5.61,30.39,4.12,2.6,0.31,0.87,74.76,141.7,1.87,1.07,24.96,13.37,58.11,5.96,15
naviraí,2015,20-40,4.37,5,8.16,4.29,17.12,0.06,0.6,0.4,0.24,2.53,2.06,3.59,29.53,7.35,2.8,0.12,1.38,11.1,212,1.5,1.67,16.71,11.14,63.79,18.46,12
riobrilhante,2015,00-20,5.16,5.77,29.02,11.23,14.92,0.24,4.45,1.3,0,5.14,5.99,11.13,53.82,15.71,2.53,0.27,9.16,96.63,63.81,3.42,2.16,39.98,11.68,46.18,4.6,41
riobrilhante,2015,20-40,5.25,5.87,20.79,1.53,11,0.09,2.82,0.93,0,4.27,3.84,8.11,47.35,65.67,1.45,0.23,8.25,45.24,81.56,0.03,1.11,34.77,11.47,52.65,6.49,53
sãogabrieldooeste,2015,00-20,5.1,5.71,28.69,12.95,5.5,0.11,2.9,1,0,4.49,4.01,8.5,47.18,11.09,7.75,0.36,5.39,70.94,33.47,2.9,1.29,34.12,11.76,52.82,0,38
sãogabrieldooeste,2015,20-40,4.63,5.25,20.33,1.14,4.1,0.06,1.15,0.6,0.14,4.35,1.81,6.3,28.73,31.39,0.6,0.32,1,59.07,36.43,1.92,0.95,18.25,9.52,69.05,7.18,20
sidrolândia,2015,00-20,5.65,6.25,37.43,6.7,10,0.49,5.4,1.35,0,5.43,7.24,12.67,57.14,24.07,8.46,0.38,11.27,99.36,27.16,4,3.87,42.62,10.66,42.86,0,35
sidrolândia,2015,20-40,4.99,5.61,25.57,3.14,41,0.21,2.05,0.95,0,5.29,3.21,8.5,37.76,128.31,10.58,0.3,1.5,3.5,141.7,2.16,2.47,24.12,11.18,62.24,0,54
amambaí,2016,00-20,6.28,6.88,30.52,11.66,15.6,0.36,8.35,1.4,0,2.53,10.3,12.84,80.3,7.54,5.36,0.43,8.4,183.4,26.7,6.11,2.8,66.59,10.9,19.7,0,31
amambaí,2016,20-40,6,6.62,22.2,2.94,8.3,0.25,7.55,1.15,0,2.68,8.95,11.63,76.96,11.38,10,0.55,8.1,171.1,12,6.57,2.15,64.92,9.89,23.04,0,12
bonito,2016,00-20,5.3,6,26,19,71,2.8,4.6,2.4,0,2.3,7.3,9.6,76,4,1.1,0.26,0.9,34.1,13,2,6.41,15.6,24.7,31.82,0,37.9
bonito,2016,20-40,5.6,6.2,18,4,47.4,0.9,4.7,2,0,2,6.8,8.8,77,21,3.9,0.32,1,40,38.3,2,4.8,32.45,21,22.3,0,31.6
douradossiloscopasul,2016,00-20,5.4,4.7,22,26,47.4,0.27,3.9,1.4,0.1,3.2,5.6,8.8,63,24,1.8,0.28,11.7,75.2,33,3,5.87,42,21.78,22.3,20.2,70
douradossiloscopasul,2016,20-40,5.7,4.9,14,4,5.5,0.14,3.8,1.2,0,2.4,5.2,7.6,68,41,2.29,0.24,9.9,20.7,38.3,3,7.79,48.2,21.6,22.6,18.46,53
dourados,2016,00-20,5.7,6.3,28,11,34.43,0.59,9.6,3.1,0,2.5,13.3,15.8,84,4,3.4,0.48,12.6,74.4,14,3,2.1,64.92,21.78,22.3,0,63
dourados,2016,20-40,5.6,6.2,22,2,5.5,0.31,8.3,2.7,0,2.5,11.3,13.8,82,13,1.45,0.12,12.47,88.2,21.28,3,1.7,44.7,21.78,22.6,0,39
