site,safra,depth,PH_CACL2,PH_AGUA,MO_GDM3,P_meh_MG_DM3,P_res_MG_DM3,K_MG_DM3,CA_CMOLCDM3,MG_CMOLCDM3,AL_CMOLCDM3,H_Al_CMOLCDM3,SOM_BASES,CTC,SAT_BASES,S_MG_DM3,ZN_MG_DM3,B_MG_DM3,CU_MG_DM3,MN_MG_DM3,FE_MG_DM3,REL_CAMG,SATPOR_K,SATPOR_CA,SATPOR_MG,SATPOR_H,SATDE_AL,ARGILA
sidrolândia,2017,20-40,5.3,6,30,3.42,42,0.39,5.6,1,0,3.6,7,10.6,66,23,1,0.27,6.9,3.7,12,5.6,3.4,51.96,9.09,40.94,0,56.6
douradossiloscopasul,2018,00-20,4.6,5.4,30.2,15.1,11,0.28,3.7,0.9,0.2,6.5,4.8,11.3,42.5,23.4,3.4,0.35,9.3,77.4,54.7,4.3,2.5,32.4,7.5,55.4,2.1,53.9
douradossiloscopasul,2018,20-40,5,5.7,20.1,2.1,4.1,0.14,3.9,0.8,0,4.4,4.8,9.2,52.2,47.6,1.4,0.23,9.4,57.8,80,4.9,1.5,42.1,8.6,47.8,0,55.7
dourados,2018,00-20,5.2,5.9,45.4,12.7,20.2,0.45,10.3,2.1,0,6.1,12.9,19,67.8,123.7,9.6,0.49,9.9,127.2,38.3,4.9,2.3,54.3,11.2,32.2,0,53.9
dourados,2018,20-40,5.7,6.3,29.2,1.9,3,0.26,9.4,1.8,0,3.5,11.4,14.9,76.7,23.7,10.7,0.19,13.9,116.8,20.6,5.3,1.7,63.1,11.9,23.3,0,55.7
maracaju,2018,00-20,4.9,5.7,33.2,8.2,34.43,0.29,5.8,1.1,0,5.7,7.1,12.8,55.4,19.9,3,0.69,6,97.2,25.1,5.5,2.3,44.9,8.2,44.6,0,53.9
maracaju,2018,20-40,5,5.7,23.4,1.7,5.5,0.12,4,0.8,0,5.2,4.9,10.1,48.5,83.6,0.5,0.31,4.8,55.3,28,5.4,1.2,39.9,7.4,51.5,0,55.7
naviraí,2018,00-20,5.8,6.4,16.4,34.8,11,0.03,2.7,0.6,0,1.8,3.3,5.2,64.5,9.9,3.4,0.21,1,57,26,4.9,0.6,53,10.8,35.5,0,15.8
naviraí,2018,20-40,4.4,5.2,8.9,20.9,14.92,0.03,1,0.2,0.3,2.9,1.3,4.2,30.7,10,0.8,0.24,1,31.8,57.9,4.8,0.6,24.9,5.2,62.1,7.2,16
sãogabrieldooeste,2018,00-20,4.85,5.5,27.73,44.45,48,0.39,3.23,1.2,0.18,6.1,4.82,10.95,43,31.85,234.89,0.55,16.58,28.81,57.5,2.65,3.55,28.75,10.7,54,1.7,52.5
sãogabrieldooeste,2018,20-40,4.4,5.16,33.82,5.8,14.92,0.25,0.64,0.34,0.32,5.7,1.23,6.9,17.8,75,19.63,0.49,4.93,6.89,50,1.9,3.6,9.3,4.9,78,4.6,60
riobrilhante,2018,00-20,5.2,5.9,30.7,12.8,11.67,0.23,4.9,1.5,0,5.1,6.6,11.8,56.3,43.5,2.9,0.25,9.2,95.8,57.1,3.4,1.9,42,12.4,43.7,0,56.1
riobrilhante,2018,20-40,5.8,6.4,18.6,1.3,5.5,0.06,3.6,1.3,0,3.1,5,8.2,61.7,32.1,0.8,0.21,8.1,57.7,66.3,2.8,0.8,44.7,16.2,38.3,0,58.7
