material,site,species,rain_q1.low,rain_q1.med,rain_q1.high,rain_q2.norain,rain_q2.low,rain_q2.med,rain_q3.norain,rain_q3.low,rain_q4.low,rain_q4.med,rain_q4.high,productivity
br,maracaju,soy,0,0,0,0,0,0,0,0,0,1,0,31.6
cd,maracaju,soy,0,0,0,0,0,0,0,0,0,1,0,30.8
cd,maracaju,soy,0,0,0,0,0,0,0,0,0,1,0,30
br,maracaju,soy,0,0,0,0,0,0,0,0,0,1,0,28.7
na,maracaju,soy,0,0,0,0,0,0,0,0,0,1,0,28.7
br,maracaju,soy,0,0,0,0,0,0,0,0,0,1,0,28.1
br,maracaju,soy,0,0,0,0,0,0,0,0,0,1,0,27.6
br,maracaju,soy,0,0,0,0,0,0,0,0,0,1,0,27.1
br,maracaju,soy,0,0,0,0,0,0,0,0,0,1,0,26.7
em,maracaju,soy,0,0,0,0,0,0,0,0,0,1,0,24.4
cd,maracaju,soy,0,0,0,0,0,0,0,0,0,1,0,24.3
cd,maracaju,soy,0,0,0,0,0,0,0,0,0,1,0,24.2
na,maracaju,soy,0,0,0,0,0,0,0,0,0,1,0,19
na,maracaju,soy,0,0,0,0,0,0,0,0,0,1,0,16.4
na,maracaju,soy,0,0,0,0,0,0,0,0,0,1,0,14.7
br,naviraí,soy,0,0,0,0,0,0,0,0,0,1,0,57
vm,naviraí,soy,0,0,0,0,0,0,0,0,0,1,0,53
na,naviraí,soy,0,0,0,0,0,0,0,0,0,1,0,53
na,naviraí,soy,0,0,0,0,0,0,0,0,0,1,0,52
br,naviraí,soy,0,0,0,0,0,0,0,0,0,1,0,51
cd,naviraí,soy,0,0,0,0,0,0,0,0,0,1,0,48
vm,naviraí,soy,0,0,0,0,0,0,0,0,0,1,0,46
fp,naviraí,soy,0,0,0,0,0,0,0,0,0,1,0,45
cd,naviraí,soy,0,0,0,0,0,0,0,0,0,1,0,38
br,naviraí,soy,0,0,0,0,0,0,0,0,0,1,0,32
br,naviraí,soy,0,0,0,0,0,0,0,0,0,1,0,49
br,naviraí,soy,0,0,0,0,0,0,0,0,0,1,0,47
cd,naviraí,soy,0,0,0,0,0,0,0,0,0,1,0,46
br,naviraí,soy,0,0,0,0,0,0,0,0,0,1,0,45
br,naviraí,soy,0,0,0,0,0,0,0,0,0,1,0,45
br,naviraí,soy,0,0,0,0,0,0,0,0,0,1,0,45
br,naviraí,soy,0,0,0,0,0,0,0,0,0,1,0,44
br,naviraí,soy,0,0,0,0,0,0,0,0,0,1,0,42
ft,naviraí,soy,0,0,0,0,0,0,0,0,0,1,0,41
br,naviraí,soy,0,0,0,0,0,0,0,0,0,1,0,41
em,naviraí,soy,0,0,0,0,0,0,0,0,0,1,0,40
br,naviraí,soy,0,0,0,0,0,0,0,0,0,1,0,40
br,naviraí,soy,0,0,0,0,0,0,0,0,0,1,0,40
cd,naviraí,soy,0,0,0,0,0,0,0,0,0,1,0,40
br,naviraí,soy,0,0,0,0,0,0,0,0,0,1,0,39
br,naviraí,soy,0,0,0,0,0,0,0,0,0,1,0,39
na,naviraí,soy,0,0,0,0,0,0,0,0,0,1,0,38
fp,naviraí,soy,0,0,0,0,0,0,0,0,0,1,0,37
br,naviraí,soy,0,0,0,0,0,0,0,0,0,1,0,36
br,naviraí,soy,0,0,0,0,0,0,0,0,0,1,0,36
na,naviraí,soy,0,0,0,0,0,0,0,0,0,1,0,33
na,naviraí,soy,0,0,0,0,0,0,0,0,0,1,0,27
na,naviraí,soy,0,0,0,0,0,0,0,0,0,1,0,21
na,naviraí,soy,0,0,0,0,0,0,0,0,0,1,0,14
br,pontaporã,soy,0,0,0,0,0,0,0,0,0,1,0,41
fp,pontaporã,soy,0,0,0,0,0,0,0,0,0,1,0,34
br,pontaporã,soy,0,0,0,0,0,0,0,0,0,1,0,34
vm,pontaporã,soy,0,0,0,0,0,0,0,0,0,1,0,32
na,pontaporã,soy,0,0,0,0,0,0,0,0,0,1,0,31
cd,pontaporã,soy,0,0,0,0,0,0,0,0,0,1,0,30
br,pontaporã,soy,0,0,0,0,0,0,0,0,0,1,0,29
na,pontaporã,soy,0,0,0,0,0,0,0,0,0,1,0,29
vm,pontaporã,soy,0,0,0,0,0,0,0,0,0,1,0,25
cd,pontaporã,soy,0,0,0,0,0,0,0,0,0,1,0,20
ft,riobrilhante,soy,0,0,0,0,0,0,0,0,0,1,0,68
br,riobrilhante,soy,0,0,0,0,0,0,0,0,0,1,0,66
br,riobrilhante,soy,0,0,0,0,0,0,0,0,0,1,0,64
br,riobrilhante,soy,0,0,0,0,0,0,0,0,0,1,0,63
br,riobrilhante,soy,0,0,0,0,0,0,0,0,0,1,0,62
br,riobrilhante,soy,0,0,0,0,0,0,0,0,0,1,0,61
br,riobrilhante,soy,0,0,0,0,0,0,0,0,0,1,0,61
cd,riobrilhante,soy,0,0,0,0,0,0,0,0,0,1,0,61
fp,riobrilhante,soy,0,0,0,0,0,0,0,0,0,1,0,58
br,riobrilhante,soy,0,0,0,0,0,0,0,0,0,1,0,57
cd,riobrilhante,soy,0,0,0,0,0,0,0,0,0,1,0,55
br,riobrilhante,soy,0,0,0,0,0,0,0,0,0,1,0,55
br,riobrilhante,soy,0,0,0,0,0,0,0,0,0,1,0,54
cd,riobrilhante,soy,0,0,0,0,0,0,0,0,0,1,0,53
br,riobrilhante,soy,0,0,0,0,0,0,0,0,0,1,0,53
fu,riobrilhante,soy,0,0,0,0,0,0,0,0,0,1,0,53
br,riobrilhante,soy,0,0,0,0,0,0,0,0,0,1,0,51
na,riobrilhante,soy,0,0,0,0,0,0,0,0,0,1,0,51
cd,riobrilhante,soy,0,0,0,0,0,0,0,0,0,1,0,50
em,riobrilhante,soy,0,0,0,0,0,0,0,0,0,1,0,50
br,riobrilhante,soy,0,0,0,0,0,0,0,0,0,1,0,50
br,riobrilhante,soy,0,0,0,0,0,0,0,0,0,1,0,48
br,riobrilhante,soy,0,0,0,0,0,0,0,0,0,1,0,48
br,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,76.2
na,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,74.5
na,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,70.6
na,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,69.1
br,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,66.2
ms,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,65.5
tm,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,62.6
na,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,62.5
na,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,61.8
br,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,61.7
fp,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,61.7
br,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,59.8
na,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,58.7
br,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,58.7
br,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,76
na,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,72.9
br,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,72.3
na,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,71.6
br,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,71.3
br,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,70.5
br,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,70.2
cd,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,67.7
br,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,67.2
br,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,67.1
ms,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,66.6
br,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,65.6
br,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,64.8
na,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,64.7
cd,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,64.7
br,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,64
cd,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,63.9
na,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,63.8
ms,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,63.3
br,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,62.2
ms,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,61.8
br,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,61.7
br,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,61.5
na,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,60.5
cd,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,59.4
fu,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,59.3
cd,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,58.6
cd,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,58.5
na,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,58
fp,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,57.2
br,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,56.8
br,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,55.4
cd,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,51.2
cd,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,50.4
cd,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,31.3
ms,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,30.5
cd,sãogabrieldooeste,soy,0,0,0,0,0,0,0,0,0,1,0,28.8
br,sidrolândia,soy,0,0,0,0,0,0,0,0,0,1,0,50.5
br,sidrolândia,soy,0,0,0,0,0,0,0,0,0,1,0,50.3
ft,sidrolândia,soy,0,0,0,0,0,0,0,0,0,1,0,43.4
br,sidrolândia,soy,0,0,0,0,0,0,0,0,0,1,0,40.8
cd,sidrolândia,soy,0,0,0,0,0,0,0,0,0,1,0,40.4
cd,sidrolândia,soy,0,0,0,0,0,0,0,0,0,1,0,40.3
fu,sidrolândia,soy,0,0,0,0,0,0,0,0,0,1,0,38.4
br,sidrolândia,soy,0,0,0,0,0,0,0,0,0,1,0,38.1
br,sidrolândia,soy,0,0,0,0,0,0,0,0,0,1,0,35.2
br,sidrolândia,soy,0,0,0,0,0,0,0,0,0,1,0,34.5
br,sidrolândia,soy,0,0,0,0,0,0,0,0,0,1,0,33.9
br,sidrolândia,soy,0,0,0,0,0,0,0,0,0,1,0,31.6
cd,sidrolândia,soy,0,0,0,0,0,0,0,0,0,1,0,31.5
br,sidrolândia,soy,0,0,0,0,0,0,0,0,0,1,0,31
cd,sidrolândia,soy,0,0,0,0,0,0,0,0,0,1,0,31
br,sidrolândia,soy,0,0,0,0,0,0,0,0,0,1,0,30.9
na,sidrolândia,soy,0,0,0,0,0,0,0,0,0,1,0,29.9
vm,sidrolândia,soy,0,0,0,0,0,0,0,0,0,1,0,28.8
na,sidrolândia,soy,0,0,0,0,0,0,0,0,0,1,0,28.8
na,sidrolândia,soy,0,0,0,0,0,0,0,0,0,1,0,27.9
cd,sidrolândia,soy,0,0,0,0,0,0,0,0,0,1,0,27.2
br,sidrolândia,soy,0,0,0,0,0,0,0,0,0,1,0,25.3
cd,sidrolândia,soy,0,0,0,0,0,0,0,0,0,1,0,20.4
fp,sidrolândia,soy,0,0,0,0,0,0,0,0,0,1,0,7.5
cd,sonora,soy,0,0,0,0,0,0,0,0,0,1,0,50.3
br,sonora,soy,0,0,0,0,0,0,0,0,0,1,0,47.8
ms,sonora,soy,0,0,0,0,0,0,0,0,0,1,0,46.4
br,sonora,soy,0,0,0,0,0,0,0,0,0,1,0,45.5
br,sonora,soy,0,0,0,0,0,0,0,0,0,1,0,44.6
ms,sonora,soy,0,0,0,0,0,0,0,0,0,1,0,44.2
cd,sonora,soy,0,0,0,0,0,0,0,0,0,1,0,43.8
fu,sonora,soy,0,0,0,0,0,0,0,0,0,1,0,43.6
cd,sonora,soy,0,0,0,0,0,0,0,0,0,1,0,42.6
fp,sonora,soy,0,0,0,0,0,0,0,0,0,1,0,41.4
cd,sonora,soy,0,0,0,0,0,0,0,0,0,1,0,39.7
br,sonora,soy,0,0,0,0,0,0,0,0,0,1,0,39.4
br,sonora,soy,0,0,0,0,0,0,0,0,0,1,0,36.9
br,sonora,soy,0,0,0,0,0,0,0,0,0,1,0,24.7
cd,sonora,soy,0,0,0,0,0,0,0,0,0,1,0,15.8
br,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,70.7
br,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,70.5
br,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,69.7
sy,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,69.4
br,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,68.5
sy,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,68.4
br,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,67.4
br,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,67.3
fp,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,67.2
br,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,67.1
cd,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,65.3
br,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,64.9
vm,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,63.9
ms,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,63.4
br,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,62.6
ms,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,62.3
cd,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,61.8
cd,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,61.5
cd,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,61.4
ft,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,61.2
br,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,60.6
5d,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,60.6
m6,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,59.3
vm,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,58.8
5d,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,58.8
sy,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,57.6
m6,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,57.1
ft,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,56.8
fp,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,56.7
cd,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,56.5
5d,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,56.1
br,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,56
cd,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,55.8
ms,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,54.5
sy,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,54.1
cd,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,53.7
5d,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,49.9
cd,antôniojoão,soy,0,0,1,1,0,0,0,1,0,0,1,49.6
na,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,74.8
br,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,74.8
br,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,70.7
cd,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,69.7
br,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,69
fp,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,68.1
br,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,67.7
na,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,67.6
br,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,67.1
na,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,66.8
br,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,65.7
br,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,65.2
br,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,64.7
vm,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,63.7
cd,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,63.1
cd,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,62.8
ro,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,62.3
br,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,62.1
vm,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,61.1
ft,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,60.9
ms,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,56.7
br,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,55.1
ms,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,52.2
cd,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,48.3
br,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,63.2
ft,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,61.5
br,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,60
br,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,60
na,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,58.9
cd,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,58.6
vm,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,58.3
br,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,57.8
ro,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,57.7
na,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,57.5
br,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,56.7
cd,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,56.2
fp,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,55.8
ms,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,55.8
br,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,54.7
cd,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,54.7
br,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,53.5
vm,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,53
br,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,52.5
br,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,52.2
br,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,48.5
cd,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,44.5
ms,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,44
na,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,43.9
br,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,58.8
br,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,56
br,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,56
ft,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,55.8
br,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,54
br,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,53.7
br,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,53.1
br,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,53
br,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,52.1
br,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,51.6
br,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,50.9
vm,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,50.5
br,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,48.8
cd,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,48.1
ms,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,46
vm,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,45.5
br,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,44.2
cd,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,43.5
cd,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,41.4
br,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,44.4
vm,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,43.7
br,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,40.6
br,aralmoreira,soy,0,0,1,1,0,0,0,1,0,0,1,38.8
