id,material,harvest,site,productivity,species
129,brs 245 rr,2008,naviraí,36.0,soy
130,na 5909 rg,2008,naviraí,33.0,soy
131,na 4823 rr,2008,naviraí,27.0,soy
132,na 4990 rr,2008,naviraí,21.0,soy
133,na 4725 rr,2008,naviraí,14.0,soy
134,brasmax potência rr,2008,ponta porã,41.0,soy
135,fps netuno rr,2008,ponta porã,34.0,soy
136,brasmax força rr,2008,ponta porã,34.0,soy
137,vmax rr,2008,ponta porã,32.0,soy
138,na 5909 rg,2008,ponta porã,31.0,soy
139,cd 233 rr,2008,ponta porã,30.0,soy
140,brs 268,2008,ponta porã,29.0,soy
141,na 7321 rr,2008,ponta porã,29.0,soy
142,vmax,2008,ponta porã,25.0,soy
143,cd 225 rr,2008,ponta porã,20.0,soy
144,fts campo mourão rr,2008,rio brilhante,68.0,soy
145,brs 284,2008,rio brilhante,66.0,soy
146,brs 268,2008,rio brilhante,64.0,soy
147,brs 282,2008,rio brilhante,63.0,soy
148,brs 232,2008,rio brilhante,62.0,soy
149,brasmax força rr,2008,rio brilhante,61.0,soy
150,brasmax potência rr,2008,rio brilhante,61.0,soy
151,cd 233 rr,2008,rio brilhante,61.0,soy
152,fps netuno rr,2008,rio brilhante,58.0,soy
153,brs 245 rr,2008,rio brilhante,57.0,soy
154,cd 226 rr,2008,rio brilhante,55.0,soy
155,brs 239,2008,rio brilhante,55.0,soy
156,brsmg favorita rr,2008,rio brilhante,54.0,soy
157,cd 202,2008,rio brilhante,53.0,soy
158,brs 283,2008,rio brilhante,53.0,soy
159,fundacep 59 rr,2008,rio brilhante,53.0,soy
160,brs charrua rr,2008,rio brilhante,51.0,soy
161,na 5909 rg,2008,rio brilhante,51.0,soy
162,cd 234 rr,2008,rio brilhante,50.0,soy
163,embrapa 48,2008,rio brilhante,50.0,soy
164,brs 255 rr,2008,rio brilhante,50.0,soy
165,brs 246 rr,2008,rio brilhante,48.0,soy
166,brs pampa rr,2008,rio brilhante,48.0,soy
167,brs 284,2008,são gabriel do oeste,76.2,soy
168,na 8015 rr,2008,são gabriel do oeste,74.5,soy
169,na 5909 rg,2008,são gabriel do oeste,70.6,soy
170,na 7255 rr,2008,são gabriel do oeste,69.1,soy
171,brs 283,2008,são gabriel do oeste,66.2,soy
172,m-soy 6101,2008,são gabriel do oeste,65.5,soy
173,tmg 123 rr,2008,são gabriel do oeste,62.6,soy
