id,material,harvest,site,productivity,species
2120,syn 1157 rr,2011,aral moreira,53.4,soy
2121,vtop rr,2011,aral moreira,52.6,soy
2122,roos camino rr,2011,aral moreira,52.4,soy
2123,fts campo mourão rr,2011,aral moreira,52.3,soy
2124,vmax rr,2011,aral moreira,51.6,soy
2125,na 4990 rr,2011,aral moreira,51.2,soy
2126,brs tordilha rr,2011,aral moreira,50.6,soy
2127,ns 7100 rr,2011,aral moreira,50.6,soy
2128,fps júpiter rr,2011,aral moreira,49.7,soy
2129,tmg 1066 rr,2011,aral moreira,49.4,soy
2130,tmg 7161 rr,2011,aral moreira,47.9,soy
2131,dow 61 a 55 ri,2011,aral moreira,46.9,soy
2132,brs 284,2011,aral moreira,46.2,soy
2133,syn 9070 rr,2011,aral moreira,45.0,soy
2134,syn 9074 rr,2011,aral moreira,44.4,soy
2135,brs 285,2011,aral moreira,44.4,soy
2136,tmg 7262 rr - inox,2011,aral moreira,42.9,soy
2137,brs valiosa rr,2011,aral moreira,42.7,soy
2138,brasmax magna rr,2011,aral moreira,42.5,soy
2139,brs 295 rr,2011,aral moreira,42.0,soy
2140,dow 68 a 25 ri,2011,aral moreira,41.6,soy
2141,exp 9039 rr,2011,aral moreira,41.5,soy
2142,cd 2630 rr,2011,aral moreira,40.4,soy
2143,brs 317,2011,aral moreira,40.2,soy
2144,brs 282,2011,aral moreira,40.2,soy
2145,cd 202,2011,aral moreira,39.8,soy
2146,m-soy 7908 rr,2011,aral moreira,39.4,soy
2147,igra 626 rr,2011,aral moreira,39.2,soy
2148,cd 238 rr,2011,aral moreira,38.0,soy
2149,brasmax potência rr,2011,aral moreira,37.7,soy
2150,brs 245 rr,2011,aral moreira,36.8,soy
2151,cd 202 rr,2011,aral moreira,35.4,soy
2152,brs 239,2011,aral moreira,34.5,soy
2153,brs 319 rr,2011,aral moreira,32.8,soy
2154,m6707 rr,2011,aral moreira,31.8,soy
2155,cd 237 rr,2011,aral moreira,29.3,soy
2156,brs 318 rr,2011,aral moreira,23.5,soy
2157,syn 1049 rr,2011,aral moreira,45.3,soy
2158,na 4990 rr,2011,aral moreira,43.5,soy
2159,fts campo mourão rr,2011,aral moreira,40.7,soy
2160,tmg 7161 rr,2011,aral moreira,39.6,soy
2161,brs 317,2011,aral moreira,39.0,soy
2162,igra 626 rr,2011,aral moreira,38.2,soy
2163,brs 284,2011,aral moreira,35.9,soy
2164,vtop rr,2011,aral moreira,35.9,soy
2165,brs tordilha rr,2011,aral moreira,35.6,soy
2166,tmg 7262 rr - inox,2011,aral moreira,34.9,soy
2167,vmax rr,2011,aral moreira,34.6,soy
2168,cd 202,2011,aral moreira,33.4,soy
2169,tmg 1066 rr,2011,aral moreira,32.9,soy
2170,brasmax turbo rr,2011,aral moreira,32.5,soy
2171,ns 5858 rr,2011,aral moreira,32.4,soy
2172,embrapa 48,2011,aral moreira,32.2,soy
2173,na 5909 rg,2011,aral moreira,31.9,soy
2174,syn 9070 rr,2011,aral moreira,31.8,soy
2175,cd 2630 rr,2011,aral moreira,31.0,soy
2176,fps júpiter rr,2011,aral moreira,30.7,soy
2177,cd 238 rr,2011,aral moreira,29.6,soy
2178,brs 245 rr,2011,aral moreira,26.9,soy
2179,brs 239,2011,aral moreira,26.9,soy
2180,brs 319 rr,2011,aral moreira,26.3,soy
2181,cd 202 rr,2011,aral moreira,24.0,soy
2182,brasmax potência rr,2011,aral moreira,22.7,soy
2183,brasmax potência rr,2011,caarapó,81.5,soy
2184,syn 9074 rr,2011,caarapó,80.5,soy
2185,syn 9070 rr,2011,caarapó,78.5,soy
2186,na 5909 rg,2011,caarapó,77.5,soy
2187,fts campo mourão rr,2011,caarapó,76.0,soy
2188,tmg 1066 rr,2011,caarapó,74.5,soy
2189,brs 295 rr,2011,caarapó,74.0,soy
2190,na 7255 rr,2011,caarapó,72.4,soy
2191,fps júpiter rr,2011,caarapó,71.0,soy
2192,vmax rr,2011,caarapó,69.8,soy
2193,cd 202,2011,caarapó,69.7,soy
2194,brs 239,2011,caarapó,69.2,soy
2195,brs 245 rr,2011,caarapó,66.6,soy
2196,brasmax turbo rr,2011,caarapó,66.3,soy
2197,cd 237 rr,2011,caarapó,65.2,soy
2198,brs 284,2011,caarapó,64.9,soy
2199,na 4990 rr,2011,caarapó,64.4,soy
2200,brs 285,2011,caarapó,60.7,soy
2201,vtop rr,2011,caarapó,59.3,soy
2202,dow 60 a 29 ri,2011,caarapó,57.1,soy
2203,syn 1049 rr,2011,caarapó,52.5,soy
2204,m-soy 7908 rr,2011,caarapó,45.3,soy
2205,brs valiosa rr,2011,caarapó,43.0,soy
2206,cd 219 rr,2011,caarapó,40.6,soy
2207,na 5909 rg,2011,caarapó,72.7,soy
2208,vtop rr,2011,caarapó,71.5,soy
2209,brasmax magna rr,2011,caarapó,69.9,soy
2210,fps júpiter rr,2011,caarapó,69.7,soy
2211,brs tordilha rr,2011,caarapó,68.7,soy
2212,exp 9039 rr,2011,caarapó,68.4,soy
2213,tmg 7161 rr,2011,caarapó,67.7,soy
2214,brasmax turbo rr,2011,caarapó,67.7,soy
2215,ns 7100 rr,2011,caarapó,67.7,soy
2216,cd 202 rr,2011,caarapó,67.0,soy
2217,tmg 7262 rr - inox,2011,caarapó,66.0,soy
2218,dow 61 a 55 ri,2011,caarapó,65.5,soy
2219,embrapa 48,2011,caarapó,64.5,soy
2220,roos camino rr,2011,caarapó,64.0,soy
2221,vmax rr,2011,caarapó,63.8,soy
2222,tmg 1066 rr,2011,caarapó,63.8,soy
2223,ns 5858 rr,2011,caarapó,62.9,soy
2224,na 4990 rr,2011,caarapó,61.8,soy
2225,brs 295 rr,2011,caarapó,61.3,soy
2226,brasmax potência rr,2011,caarapó,59.8,soy
2227,brs 284,2011,caarapó,59.8,soy
2228,syn 1049 rr,2011,caarapó,55.2,soy
2229,syn 9074 rr,2011,caarapó,55.1,soy
2230,brs 317,2011,caarapó,54.9,soy
2231,dow 68 a 25 ri,2011,caarapó,54.0,soy
2232,fts campo mourão rr,2011,caarapó,53.5,soy
2233,brs 318 rr,2011,caarapó,53.4,soy
2234,brs 239,2011,caarapó,50.6,soy
2235,cd 202,2011,caarapó,49.5,soy
2236,syn 9070 rr,2011,caarapó,46.9,soy
2237,m6707 rr,2011,caarapó,44.8,soy
2238,brs 319 rr,2011,caarapó,43.9,soy
2239,cd 237 rr,2011,caarapó,40.7,soy
2240,brs 245 rr,2011,caarapó,35.9,soy
2241,brs 285,2011,caarapó,29.1,soy
2242,brs valiosa rr,2011,caarapó,26.0,soy
2243,m-soy 7908 rr,2011,caarapó,25.8,soy
2244,na 4990 rr,2011,caarapó,67.0,soy
2245,ns 5858 rr,2011,caarapó,61.5,soy
2246,roos camino rr,2011,caarapó,57.5,soy
2247,vtop rr,2011,caarapó,56.2,soy
2248,brasmax turbo rr,2011,caarapó,55.1,soy
2249,syn 1049 rr,2011,caarapó,54.7,soy
2250,ns 7100 rr,2011,caarapó,53.4,soy
2251,fps júpiter rr,2011,caarapó,50.7,soy
2252,brs tordilha rr,2011,caarapó,50.1,soy
2253,na 5909 rg,2011,caarapó,49.9,soy
2254,cd 202 rr,2011,caarapó,49.3,soy
2255,brasmax magna rr,2011,caarapó,48.9,soy
2256,tmg 7262 rr - inox,2011,caarapó,48.3,soy
2257,cd 2630 rr,2011,caarapó,48.0,soy
2258,vmax rr,2011,caarapó,47.2,soy
2259,tmg 1066 rr,2011,caarapó,43.9,soy
2260,brasmax potência rr,2011,caarapó,41.9,soy
2261,fts campo mourão rr,2011,caarapó,40.9,soy
2262,igra 626 rr,2011,caarapó,40.5,soy
2263,syn 9074 rr,2011,caarapó,40.0,soy
2264,brs 245 rr,2011,caarapó,39.0,soy
2265,m6707 rr,2011,caarapó,37.8,soy
2266,syn 9070 rr,2011,caarapó,35.6,soy
2267,brs 319 rr,2011,caarapó,33.0,soy
2268,cd 202,2011,dourados,70.3,soy
2269,embrapa 48,2011,dourados,69.0,soy
2270,brs 320,2011,dourados,67.5,soy
2271,fts campo mourão rr,2011,dourados,67.0,soy
2272,vmax rr,2011,dourados,66.7,soy
2273,tmg 1067 rr,2011,dourados,64.9,soy
2274,fps júpiter rr,2011,dourados,64.2,soy
2275,tmg 1066 rr,2011,dourados,64.1,soy
2276,brs 282,2011,dourados,63.9,soy
2277,brs 285,2011,dourados,63.2,soy
2278,syn 1157 rr,2011,dourados,62.0,soy
2279,vtop rr,2011,dourados,61.7,soy
2280,brs 239,2011,dourados,60.2,soy
2281,na 5909 rg,2011,dourados,60.2,soy
2282,brs 284,2011,dourados,59.3,soy
2283,brs 245 rr,2011,dourados,59.3,soy
2284,m-soy 7908 rr,2011,dourados,57.4,soy
2285,igra 626 rr,2011,dourados,57.2,soy
2286,brasmax potência rr,2011,dourados,56.6,soy
2287,syn 9074 rr,2011,dourados,56.6,soy
2288,int 6201 rr,2011,dourados,56.5,soy
2289,brs 317,2011,dourados,56.1,soy
2290,m6707 rr,2011,dourados,55.6,soy
2291,cd 2630 rr,2011,dourados,54.5,soy
2292,int 6502 rr,2011,dourados,54.4,soy
2293,na 7255 rr,2011,dourados,53.8,soy
2294,brs valiosa rr,2011,dourados,53.8,soy
2295,cd 202 rr,2011,dourados,52.6,soy
2296,brs 283,2011,dourados,51.5,soy
2297,brasmax turbo rr,2011,dourados,51.0,soy
2298,roos camino rr,2011,dourados,50.2,soy
2299,brs tordilha rr,2011,dourados,50.1,soy
2300,ns 7100 rr,2011,dourados,49.6,soy
2301,dow 68 a 25 ri,2011,dourados,49.2,soy
2302,cd 238 rr,2011,dourados,49.1,soy
2303,brs 319 rr,2011,dourados,48.8,soy
2304,dow 60 a 29 ri,2011,dourados,48.6,soy
2305,tmg 7262 rr - inox,2011,dourados,48.5,soy
2306,dow 61 a 55 ri,2011,dourados,46.7,soy
2307,syn 9070 rr,2011,dourados,46.5,soy
2308,syn 1049 rr,2011,dourados,46.3,soy
2309,brs 318 rr,2011,dourados,45.8,soy
2310,cd 219 rr,2011,dourados,45.0,soy
2311,ns 5858 rr,2011,dourados,45.0,soy
2312,cd 237 rr,2011,dourados,44.6,soy
2313,ns 6636 rr,2011,dourados,42.6,soy
2314,na 4990 rr,2011,dourados,42.4,soy
2315,ns 6262 rr,2011,dourados,42.0,soy
2316,tmg 7161 rr,2011,dourados,41.3,soy
2317,vtop rr,2011,dourados,53.8,soy
2318,vmax rr,2011,dourados,50.9,soy
2319,ns 5858 rr,2011,dourados,50.7,soy
2320,syn 1157 rr,2011,dourados,50.6,soy
2321,ns 6636 rr,2011,dourados,50.3,soy
2322,tmg 1066 rr,2011,dourados,47.5,soy
2323,roos camino rr,2011,dourados,47.0,soy
2324,brasmax turbo rr,2011,dourados,46.5,soy
2325,cd 202,2011,dourados,46.4,soy
2326,na 5909 rg,2011,dourados,46.4,soy
2327,fps júpiter rr,2011,dourados,46.3,soy
2328,ns 6262 rr,2011,dourados,45.8,soy
2329,brasmax potência rr,2011,dourados,45.5,soy
2330,cd 2630 rr,2011,dourados,45.2,soy
2331,brs tordilha rr,2011,dourados,45.0,soy
2332,brs 282,2011,dourados,44.9,soy
2333,brasmax 8035 rr,2011,dourados,44.6,soy
2334,brasmax magna rr,2011,dourados,44.6,soy
2335,dow 61 a 55 ri,2011,dourados,44.1,soy
2336,fts campo mourão rr,2011,dourados,43.9,soy
2337,ns 7100 rr,2011,dourados,43.9,soy
2338,brs 245 rr,2011,dourados,43.8,soy
2339,syn 1049 rr,2011,dourados,43.5,soy
2340,brs 317,2011,dourados,43.1,soy
2341,brs 320,2011,dourados,42.9,soy
2342,tmg 7262 rr - inox,2011,dourados,42.8,soy
2343,tmg 7161 rr,2011,dourados,42.0,soy
2344,cd 238 rr,2011,dourados,40.4,soy
2345,m-soy 7908 rr,2011,dourados,39.3,soy
2346,brs 284,2011,dourados,39.3,soy
2347,embrapa 48,2011,dourados,38.2,soy
2348,cd 202 rr,2011,dourados,37.6,soy
2349,dow 68 a 25 ri,2011,dourados,36.8,soy
2350,syn 9074 rr,2011,dourados,36.6,soy
2351,brs 239,2011,dourados,36.4,soy
2352,syn 9070 rr,2011,dourados,35.9,soy
2353,na 4990 rr,2011,dourados,35.4,soy
2354,brs valiosa rr,2011,dourados,34.7,soy
2355,brs 285,2011,dourados,34.3,soy
2356,igra 626 rr,2011,dourados,32.4,soy
2357,brs 319 rr,2011,dourados,30.1,soy
2358,cd 237 rr,2011,dourados,28.5,soy
2359,brs 318 rr,2011,dourados,25.1,soy
2360,brs 285,2011,maracaju,74.3,soy
2361,cd 202,2011,maracaju,73.7,soy
2362,brs 317,2011,maracaju,71.0,soy
2363,fts campo mourão rr,2011,maracaju,69.0,soy
2364,brs 245 rr,2011,maracaju,68.5,soy
2365,brs 284,2011,maracaju,66.5,soy
2366,m-soy 7908 rr,2011,maracaju,66.2,soy
2367,brasmax potência rr,2011,maracaju,65.9,soy
2368,brs 239,2011,maracaju,65.3,soy
2369,ns 6636 rr,2011,maracaju,64.8,soy
2370,syn 9070 rr,2011,maracaju,63.6,soy
2371,brasmax turbo rr,2011,maracaju,63.6,soy
2372,igra 626 rr,2011,maracaju,63.0,soy
2373,anta 82 rr,2011,maracaju,62.2,soy
2374,na 5909 rg,2011,maracaju,62.2,soy
2375,tmg 1066 rr,2011,maracaju,61.5,soy
2376,fps júpiter rr,2011,maracaju,61.5,soy
2377,brs valiosa rr,2011,maracaju,60.8,soy
2378,na 7255 rr,2011,maracaju,60.0,soy
2379,brs 283,2011,maracaju,58.7,soy
2380,ns 7100 rr,2011,maracaju,58.5,soy
2381,vmax rr,2011,maracaju,55.9,soy
2382,cd 219 rr,2011,maracaju,55.8,soy
2383,roos camino rr,2011,maracaju,55.1,soy
2384,na 4990 rr,2011,maracaju,54.9,soy
2385,ns 5858 rr,2011,maracaju,54.9,soy
2386,syn 9074 rr,2011,maracaju,54.2,soy
2387,int 6100 rr,2011,maracaju,54.1,soy
2388,tmg 7262 rr - inox,2011,maracaju,53.0,soy
2389,vtop rr,2011,maracaju,51.8,soy
2390,brasmax 9043 rr,2011,maracaju,51.5,soy
2391,int 6502 rr,2011,maracaju,51.1,soy
2392,syn 1049 rr,2011,maracaju,50.2,soy
2393,ns 6262 rr,2011,maracaju,49.7,soy
2394,int 6603 rr,2011,maracaju,49.0,soy
2395,brs 295 rr,2011,maracaju,48.0,soy
2396,tmg 7161 rr,2011,maracaju,47.5,soy
2397,dow 61 a 55 ri,2011,maracaju,43.9,soy
2398,int 6201 rr,2011,maracaju,43.5,soy
2399,brs 316 rr,2011,maracaju,43.4,soy
2400,dow 60 a 29 ri,2011,maracaju,42.2,soy
2401,brasmax 9037 rr,2011,maracaju,37.2,soy
2402,fts campo mourão rr,2011,maracaju,79.4,soy
2403,fps júpiter rr,2011,maracaju,79.2,soy
2404,brasmax potência rr,2011,maracaju,78.7,soy
2405,na 5909 rg,2011,maracaju,76.9,soy
2406,igra 626 rr,2011,maracaju,76.2,soy
2407,brs 284,2011,maracaju,76.2,soy
2408,cd 202,2011,maracaju,75.4,soy
2409,brasmax turbo rr,2011,maracaju,74.9,soy
2410,tmg 7262 rr - inox,2011,maracaju,74.7,soy
2411,tmg 1066 rr,2011,maracaju,74.6,soy
2412,brs 245 rr,2011,maracaju,73.4,soy
2413,cd 237 rr,2011,maracaju,73.0,soy
2414,ns 6636 rr,2011,maracaju,72.7,soy
2415,embrapa 48,2011,maracaju,71.6,soy
2416,brs tordilha rr,2011,maracaju,71.3,soy
2417,tmg 1067 rr,2011,maracaju,70.8,soy
2418,brs 285,2011,maracaju,70.0,soy
2419,brs 239,2011,maracaju,69.9,soy
2420,roos camino rr,2011,maracaju,69.9,soy
2421,brs 282,2011,maracaju,69.2,soy
2422,syn 9070 rr,2011,maracaju,69.2,soy
2423,m-soy 7908 rr,2011,maracaju,68.9,soy
2424,tmg tropical rr,2011,maracaju,68.8,soy
2425,syn 1157 rr,2011,maracaju,68.7,soy
2426,syn 9074 rr,2011,maracaju,68.3,soy
2427,m6707 rr,2011,maracaju,68.0,soy
2428,brs valiosa rr,2011,maracaju,68.0,soy
2429,brs 320,2011,maracaju,67.7,soy
2430,exp 9039 rr,2011,maracaju,67.6,soy
2431,cd 238 rr,2011,maracaju,67.0,soy
2432,ns 5858 rr,2011,maracaju,66.6,soy
2433,brs 316 rr,2011,maracaju,66.3,soy
2434,brs 319 rr,2011,maracaju,65.8,soy
2435,vtop rr,2011,maracaju,65.4,soy
2436,tmg 7161 rr,2011,maracaju,65.3,soy
2437,dow 61 a 55 ri,2011,maracaju,64.6,soy
2438,brs 317,2011,maracaju,64.3,soy
2439,brs 295 rr,2011,maracaju,64.1,soy
2440,dow 68 a 25 ri,2011,maracaju,63.7,soy
2441,vmax rr,2011,maracaju,63.1,soy
2442,ns 7100 rr,2011,maracaju,63.0,soy
2443,cd 219 rr,2011,maracaju,62.3,soy
2444,brs 318 rr,2011,maracaju,61.9,soy
2445,cd 2630 rr,2011,maracaju,60.1,soy
2446,cd 202 rr,2011,maracaju,58.8,soy
2447,ns 6262 rr,2011,maracaju,58.8,soy
2448,na 4990 rr,2011,maracaju,54.4,soy
2449,syn 1049 rr,2011,maracaju,48.8,soy
2450,brs 316 rr,2011,maracaju,78.3,soy
2451,tmg 1066 rr,2011,maracaju,76.0,soy
2452,cd 202,2011,maracaju,73.7,soy
2453,brs 239,2011,maracaju,72.9,soy
2454,brs 282,2011,maracaju,72.6,soy
2455,brasmax turbo rr,2011,maracaju,72.5,soy
2456,brs 284,2011,maracaju,72.5,soy
2457,brs tordilha rr,2011,maracaju,72.4,soy
2458,tmg 7262 rr - inox,2011,maracaju,72.3,soy
2459,igra 626 rr,2011,maracaju,72.2,soy
2460,na 5909 rg,2011,maracaju,72.2,soy
2461,brasmax potência rr,2011,maracaju,71.6,soy
2462,fts campo mourão rr,2011,maracaju,71.4,soy
2463,syn 9074 rr,2011,maracaju,70.8,soy
2464,vtop rr,2011,maracaju,70.2,soy
2465,syn 1157 rr,2011,maracaju,70.2,soy
2466,brs 295 rr,2011,maracaju,69.9,soy
2467,embrapa 48,2011,maracaju,69.8,soy
2468,fps júpiter rr,2011,maracaju,69.8,soy
2469,brs 319 rr,2011,maracaju,69.6,soy
2470,cd 237 rr,2011,maracaju,69.2,soy
2471,brasmax 8035 rr,2011,maracaju,68.1,soy
2472,igra 728 rr,2011,maracaju,68.0,soy
2473,brs 320,2011,maracaju,67.9,soy
2474,m6707 rr,2011,maracaju,67.2,soy
2475,vmax rr,2011,maracaju,67.1,soy
2476,ns 5858 rr,2011,maracaju,67.0,soy
2477,roos camino rr,2011,maracaju,66.8,soy
2478,brs 285,2011,maracaju,66.5,soy
2479,ns 7100 rr,2011,maracaju,66.4,soy
2480,brs 317,2011,maracaju,65.9,soy
2481,brs 245 rr,2011,maracaju,65.8,soy
2482,na 4990 rr,2011,maracaju,65.4,soy
2483,exp 9039 rr,2011,maracaju,64.9,soy
2484,cd 2630 rr,2011,maracaju,64.4,soy
2485,cd 238 rr,2011,maracaju,64.1,soy
2486,cd 202 rr,2011,maracaju,63.8,soy
2487,dow 68 a 25 ri,2011,maracaju,62.9,soy
2488,tmg 7161 rr,2011,maracaju,62.7,soy
2489,dow 61 a 55 ri,2011,maracaju,60.6,soy
2490,syn 9070 rr,2011,maracaju,60.1,soy
2491,syn 1049 rr,2011,maracaju,58.7,soy
2492,m-soy 7908 rr,2011,maracaju,57.3,soy
2493,brs 318 rr,2011,maracaju,54.6,soy
2494,brs valiosa rr,2011,maracaju,53.8,soy
2495,cd 219 rr,2011,maracaju,48.5,soy
2496,brs tordilha rr,2011,maracaju,68.0,soy
2497,tmg 1066 rr,2011,maracaju,65.7,soy
2498,brs 284,2011,maracaju,65.0,soy
2499,vtop rr,2011,maracaju,64.4,soy
2500,fps júpiter rr,2011,maracaju,64.1,soy
2501,brs 239,2011,maracaju,64.0,soy
2502,brasmax turbo rr,2011,maracaju,63.0,soy
2503,brasmax magna rr,2011,maracaju,61.7,soy
2504,na 5909 rg,2011,maracaju,59.3,soy
2505,igra 626 rr,2011,maracaju,58.9,soy
2506,na 4990 rr,2011,maracaju,58.4,soy
2507,brasmax potência rr,2011,maracaju,58.1,soy
2508,syn 9074 rr,2011,maracaju,58.0,soy
2509,fts campo mourão rr,2011,maracaju,57.6,soy
2510,vmax rr,2011,maracaju,57.5,soy
2511,ns 7100 rr,2011,maracaju,57.4,soy
2512,cd 202,2011,maracaju,56.5,soy
2513,syn 9070 rr,2011,maracaju,55.8,soy
2514,brs 295 rr,2011,maracaju,55.7,soy
2515,cd 237 rr,2011,maracaju,55.2,soy
2516,brs 319 rr,2011,maracaju,55.2,soy
2517,brs 285,2011,maracaju,55.1,soy
2518,brs 245 rr,2011,maracaju,55.1,soy
2519,syn 1049 rr,2011,maracaju,52.7,soy
2520,brs valiosa rr,2011,maracaju,48.5,soy
2521,m-soy 7908 rr,2011,maracaju,48.5,soy
2522,cd 219 rr,2011,maracaju,40.2,soy
2523,cd 202,2011,naviraí,38.6,soy
2524,tmg 1067 rr,2011,naviraí,35.3,soy
2525,brs 283,2011,naviraí,34.3,soy
2526,brs 284,2011,naviraí,33.3,soy
2527,brs 317,2011,naviraí,33.2,soy
2528,cd 2630 rr,2011,naviraí,32.5,soy
2529,brs 282,2011,naviraí,32.0,soy
2530,brs 232,2011,naviraí,32.0,soy
2531,tmg 1066 rr,2011,naviraí,31.8,soy
2532,brs tordilha rr,2011,naviraí,31.5,soy
2533,exp 9039 rr,2011,naviraí,31.4,soy
2534,dow 61 a 55 ri,2011,naviraí,30.9,soy
2535,cd 202 rr,2011,naviraí,30.5,soy
2536,ns 7100 rr,2011,naviraí,29.4,soy
2537,na 5909 rg,2011,naviraí,28.7,soy
2538,cd 238 rr,2011,naviraí,28.0,soy
2539,brs 295 rr,2011,naviraí,27.5,soy
2540,brs 239,2011,naviraí,26.7,soy
2541,brasmax turbo rr,2011,naviraí,26.6,soy
2542,vmax rr,2011,naviraí,26.3,soy
2543,vtop rr,2011,naviraí,26.2,soy
2544,dow 68 a 25 ri,2011,naviraí,26.1,soy
2545,brs 294 rr,2011,naviraí,26.1,soy
2546,syn 1157 rr,2011,naviraí,25.4,soy
2547,fps júpiter rr,2011,naviraí,25.0,soy
2548,brasmax potência rr,2011,naviraí,24.4,soy
2549,igra 626 rr,2011,naviraí,24.0,soy
2550,fts campo mourão rr,2011,naviraí,23.3,soy
2551,m6707 rr,2011,naviraí,19.8,soy
2552,brs 245 rr,2011,rio brilhante,69.6,soy
2553,brs 317,2011,rio brilhante,69.0,soy
2554,m6707 rr,2011,rio brilhante,68.2,soy
2555,fts campo mourão rr,2011,rio brilhante,67.7,soy
2556,brasmax magna rr,2011,rio brilhante,67.0,soy
2557,m-soy 7908 rr,2011,rio brilhante,66.7,soy
2558,brasmax potência rr,2011,rio brilhante,64.7,soy
2559,cd 237 rr,2011,rio brilhante,64.7,soy
2560,vtop rr,2011,rio brilhante,64.6,soy
2561,na 7255 rr,2011,rio brilhante,64.4,soy
2562,cd 202,2011,rio brilhante,64.3,soy
2563,na 5909 rg,2011,rio brilhante,63.9,soy
2564,syn 9074 rr,2011,rio brilhante,63.6,soy
2565,tmg 1067 rr,2011,rio brilhante,63.6,soy
2566,tmg 1066 rr,2011,rio brilhante,63.2,soy
2567,int 6502 rr,2011,rio brilhante,63.0,soy
2568,fps júpiter rr,2011,rio brilhante,62.4,soy
2569,brs 319 rr,2011,rio brilhante,61.9,soy
2570,brs valiosa rr,2011,rio brilhante,61.9,soy
2571,cd 238 rr,2011,rio brilhante,61.5,soy
2572,syn 1157 rr,2011,rio brilhante,61.5,soy
2573,roos camino rr,2011,rio brilhante,61.4,soy
2574,igra 626 rr,2011,rio brilhante,61.4,soy
2575,brs 282,2011,rio brilhante,61.0,soy
2576,brasmax turbo rr,2011,rio brilhante,60.7,soy
2577,syn 9070 rr,2011,rio brilhante,60.6,soy
2578,na 4990 rr,2011,rio brilhante,60.5,soy
2579,vmax rr,2011,rio brilhante,60.0,soy
2580,brs 239,2011,rio brilhante,59.9,soy
2581,brs 285,2011,rio brilhante,59.9,soy
2582,ns 7100 rr,2011,rio brilhante,59.3,soy
2583,tmg 7262 rr - inox,2011,rio brilhante,59.3,soy
2584,brs 316 rr,2011,rio brilhante,59.2,soy
2585,brs tordilha rr,2011,rio brilhante,58.9,soy
2586,brs 284,2011,rio brilhante,58.2,soy
2587,tmg 7161 rr,2011,rio brilhante,58.2,soy
2588,embrapa 48,2011,rio brilhante,57.5,soy
2589,int 6201 rr,2011,rio brilhante,57.1,soy
2590,dow 60 a 29 ri,2011,rio brilhante,57.1,soy
2591,brs 318 rr,2011,rio brilhante,56.6,soy
2592,dow 61 a 55 ri,2011,rio brilhante,56.5,soy
2593,ns 5858 rr,2011,rio brilhante,56.3,soy
2594,ns 6262 rr,2011,rio brilhante,56.1,soy
2595,dow 68 a 25 ri,2011,rio brilhante,55.5,soy
2596,cd 202 rr,2011,rio brilhante,55.5,soy
2597,syn 1049 rr,2011,rio brilhante,55.1,soy
2598,exp 9039 rr,2011,rio brilhante,52.4,soy
2599,cd 2630 rr,2011,rio brilhante,52.2,soy
2600,ns 6636 rr,2011,rio brilhante,41.8,soy
2601,fts campo mourão rr,2011,rio brilhante,57.2,soy
2602,tmg 1066 rr,2011,rio brilhante,56.9,soy
2603,syn 9070 rr,2011,rio brilhante,56.5,soy
2604,brs 285,2011,rio brilhante,56.4,soy
2605,brs 317,2011,rio brilhante,56.4,soy
2606,brasmax potência rr,2011,rio brilhante,56.2,soy
2607,brs 245 rr,2011,rio brilhante,56.2,soy
2608,vmax rr,2011,rio brilhante,55.9,soy
2609,syn 9074 rr,2011,rio brilhante,55.7,soy
2610,na 5909 rg,2011,rio brilhante,55.2,soy
2611,brasmax turbo rr,2011,rio brilhante,55.0,soy
2612,na 4990 rr,2011,rio brilhante,54.4,soy
2613,ns 7100 rr,2011,rio brilhante,54.3,soy
2614,brs 319 rr,2011,rio brilhante,53.8,soy
2615,igra 626 rr,2011,rio brilhante,53.5,soy
2616,brs 295 rr,2011,rio brilhante,53.1,soy
2617,fps júpiter rr,2011,rio brilhante,52.9,soy
2618,vtop rr,2011,rio brilhante,51.6,soy
2619,brs tordilha rr,2011,rio brilhante,51.2,soy
2620,cd 202,2011,rio brilhante,50.8,soy
2621,brs 284,2011,rio brilhante,50.1,soy
2622,cd 238 rr,2011,rio brilhante,49.7,soy
2623,brs 282,2011,rio brilhante,49.3,soy
2624,cd 202 rr,2011,rio brilhante,48.7,soy
2625,embrapa 48,2011,rio brilhante,48.2,soy
2626,syn 1049 rr,2011,rio brilhante,48.1,soy
2627,syn 1157 rr,2011,rio brilhante,46.8,soy
2628,brs 239,2011,rio brilhante,46.4,soy
2629,ns 5858 rr,2011,rio brilhante,42.7,soy
2630,brasmax magna rr,2011,rio brilhante,38.9,soy
2631,m-soy 7639 rr,2011,são gabriel do oeste,83.0,soy
2632,na 7337 rr,2011,são gabriel do oeste,81.9,soy
2633,igra 626 rr,2011,são gabriel do oeste,79.5,soy
2634,brs 284,2011,são gabriel do oeste,79.5,soy
2635,syn 9074 rr,2011,são gabriel do oeste,79.4,soy
2636,anta 82 rr,2011,são gabriel do oeste,79.2,soy
2637,syn 9070 rr,2011,são gabriel do oeste,79.0,soy
2638,tmg 7262 rr - inox,2011,são gabriel do oeste,78.7,soy
2639,brs 283,2011,são gabriel do oeste,78.0,soy
2640,na 7255 rr,2011,são gabriel do oeste,77.2,soy
2641,brasmax 9043 rr,2011,são gabriel do oeste,77.0,soy
2642,cd 202,2011,são gabriel do oeste,76.2,soy
2643,xi 74906 rr,2011,são gabriel do oeste,75.1,soy
2644,brs valiosa rr,2011,são gabriel do oeste,74.9,soy
