date,Amambaí,Anaurilandia,Campo_Grande,Dourados,Ivinhema,Maracaju,Rio_Brilhante,São_Gabriel_do_Oeste,Sidrolândia
2008-04-07,,,0.0,0.0,0.0,0.0,,0.0,
2008-04-08,,,0.0,0.0,0.0,0.0,,0.0,
2008-04-09,,,0.8,0.0,0.0,0.0,,0.0,
2008-04-10,,,0.2,0.0,0.0,0.0,,0.0,
2008-04-11,,,0.0,0.0,0.0,0.0,,0.0,
2008-04-12,,,0.0,0.0,0.0,0.0,,0.0,
2008-04-13,,,0.0,1.2,1.6,0.4,,0.0,
2008-04-14,,,1.8,36.6,22.4,31.2,,0.0,
2008-04-15,,,0.0,0.0,0.0,0.0,,0.0,
2008-04-16,,,0.0,2.0,3.0,0.8,,0.0,
2008-04-17,,,0.2,0.0,0.0,0.2,,0.0,
2008-04-18,,,0.0,0.0,0.0,0.0,,0.0,
2008-04-19,,,27.8,45.0,55.2,32.4,,0.0,
2008-04-20,,,3.8,0.0,0.0,2.6,,0.0,
2008-04-21,,,0.2,0.0,0.0,1.0,,0.0,
2008-04-22,,,0.0,0.0,0.2,0.0,,0.0,
2008-04-23,,,0.0,0.0,0.0,0.0,,0.0,
2008-04-24,,,0.0,0.0,0.0,0.0,,0.0,
2008-04-25,,,0.0,0.0,0.0,0.0,,0.0,
2008-04-26,,,0.0,0.0,0.0,0.0,,0.0,
2008-04-27,,,0.0,0.0,0.0,0.0,,0.0,
2008-04-28,,,0.0,0.0,0.0,0.0,,0.0,
2008-04-29,,,37.8,7.0,10.2,14.8,,0.0,
2008-04-30,,,0.8,2.0,0.8,1.0,,0.0,
2008-05-01,,,2.4,5.6,21.2,5.0,,0.0,
2008-05-02,,,2.8,6.0,9.2,0.0,,0.0,
2008-05-03,,,0.0,0.0,0.0,0.0,,0.0,
2008-05-04,,,0.0,0.0,0.4,0.0,,0.0,
2008-05-05,,,0.0,0.0,0.0,0.0,,0.0,
2008-05-06,,,0.0,0.0,0.0,0.2,,0.0,
2008-05-07,,,0.0,0.0,0.0,0.0,,0.0,
2008-05-08,,,0.0,0.2,0.0,0.0,,0.0,
2008-05-09,,,1.4,0.0,0.0,0.0,,0.0,
2008-05-10,,,0.0,0.0,0.0,0.0,,0.0,
2008-05-11,,,0.6,0.0,0.0,0.0,,0.0,
2008-05-12,,,2.2,1.8,0.2,4.6,,0.0,
2008-05-13,,,4.4,0.8,0.0,0.6,,0.0,
2008-05-14,,30.0,0.0,0.0,0.0,0.2,,0.0,
2008-05-15,,,0.0,0.0,0.0,0.8,,0.0,
2008-05-16,,,35.6,0.0,0.0,0.4,,0.0,
2008-05-17,,,0.0,0.0,0.0,0.2,,0.0,
2008-05-18,,,0.0,0.0,0.0,0.0,,0.0,
2008-05-19,,,0.0,0.0,0.0,0.0,,0.0,
2008-05-20,,,0.0,0.0,0.0,0.0,,0.0,
2008-05-21,,,0.0,0.0,0.0,0.0,,0.0,
2008-05-22,,,0.0,0.0,0.0,0.0,,0.0,
2008-05-23,,,0.0,0.0,0.0,0.0,,0.0,
2008-05-24,,,0.0,0.0,0.0,0.0,,0.0,
2008-05-25,,,0.0,0.0,0.0,0.0,,0.0,
2008-05-26,,12.0,0.0,0.0,0.0,0.0,,0.0,
2008-05-27,,,0.0,0.0,0.0,0.0,,0.0,
2008-05-28,,8.0,4.0,1.6,0.4,0.0,,0.0,
2008-05-29,,,27.4,13.4,25.0,22.8,,0.0,
2008-05-30,,,2.4,0.0,0.2,3.4,,0.0,
2008-05-31,,,0.0,0.2,1.0,0.6,,0.0,
2008-06-01,,,0.0,0.0,4.6,0.0,,0.0,
2008-06-02,,,0.0,0.0,0.0,0.0,,0.0,
2008-06-03,,,0.0,1.0,0.0,0.0,,0.0,
2008-06-04,,,1.4,0.0,0.0,0.0,,0.0,
2008-06-05,,,0.0,0.2,0.0,0.2,,0.0,
2008-06-06,,,0.0,0.0,0.0,0.0,,0.0,
2008-06-07,,,0.0,0.0,0.0,0.0,,0.0,
2008-06-08,,,0.0,0.0,0.0,0.0,,0.0,
2008-06-09,,,0.0,3.6,0.0,0.4,,0.0,
2008-06-10,,,1.8,7.0,15.0,5.4,,0.0,
2008-06-11,0.0,,0.0,0.0,0.0,0.4,,0.0,
2008-06-12,12.0,,0.0,0.6,0.0,0.0,,0.0,
2008-06-13,5.0,,0.0,2.4,0.2,0.0,,0.0,
2008-06-14,0.0,,0.0,0.0,0.2,0.0,,0.0,
2008-06-15,0.2,8.0,0.4,0.2,0.0,1.8,,0.0,
2008-06-16,0.0,,0.0,0.0,0.0,3.4,,0.8,
2008-06-17,0.0,,0.0,0.0,0.0,2.8,,0.0,
2008-06-18,0.0,,0.0,0.0,0.0,0.6,,0.0,
2008-06-19,0.0,,0.0,0.0,0.0,0.0,,0.0,
2008-06-20,3.6,,2.2,0.0,0.0,0.0,,0.0,
2008-06-21,0.4,,0.0,0.0,0.0,0.0,,0.0,
2008-06-22,0.0,,0.0,3.2,0.8,0.6,,0.0,
2008-06-23,0.2,,0.0,0.0,0.0,0.0,,0.0,
2008-06-24,0.0,,0.0,0.0,0.0,0.0,,0.0,
2008-06-25,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,
2008-06-26,0.4,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-06-27,0.0,22.0,0.0,0.0,0.0,0.6,0.0,0.0,
2008-06-28,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-06-29,0.0,8.0,0.2,0.0,0.0,0.0,0.0,0.0,
2008-06-30,0.0,,0.0,0.2,0.0,0.0,0.0,0.0,
2008-07-01,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-07-02,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,
2008-07-03,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-07-04,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-07-05,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-07-06,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-07-07,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-07-08,0.4,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-07-09,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-07-10,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-07-11,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,
2008-07-12,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-07-13,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-07-14,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-07-15,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-07-16,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-07-17,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-07-18,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-07-19,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-07-20,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-07-21,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-07-22,0.0,,0.0,0.4,0.0,0.0,0.0,0.0,
2008-07-23,0.6,40.0,0.0,0.8,0.0,0.2,0.4,0.0,
2008-07-24,4.6,,0.0,20.2,1.4,4.6,8.2,0.0,
2008-07-25,0.0,,0.0,0.0,0.2,3.0,0.0,0.0,
2008-07-26,0.0,,0.0,0.0,0.0,0.2,0.2,0.0,
2008-07-27,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,
2008-07-28,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-07-29,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,
2008-07-30,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2008-07-31,9.8,,0.0,0.4,0.0,0.0,0.0,0.0,
2008-08-01,16.2,,0.0,1.4,0.4,0.8,0.8,0.0,
2008-08-02,13.8,12.0,0.4,20.8,27.4,1.2,11.6,0.0,
2008-08-03,1.4,,6.6,0.0,1.6,0.8,0.4,21.6,
2008-08-04,0.2,,0.0,0.0,0.0,0.6,0.0,0.0,
2008-08-05,7.4,,0.4,9.2,2.4,0.8,7.0,0.0,
2008-08-06,0.4,,0.0,0.4,0.0,0.4,0.0,0.0,
2008-08-07,15.6,,0.0,0.0,4.4,0.2,0.0,0.0,
2008-08-08,52.2,,29.6,36.8,67.2,0.2,21.2,0.0,
2008-08-09,10.2,,2.2,4.2,3.8,0.0,6.8,0.0,
2008-08-10,0.2,,0.6,0.2,0.2,0.2,0.0,0.0,
2008-08-11,0.0,,0.0,0.0,0.0,0.4,0.0,0.0,
2008-08-12,0.2,,0.0,0.0,0.0,1.0,0.0,0.0,
2008-08-13,22.0,,0.0,2.0,1.6,0.4,0.2,0.0,
2008-08-14,32.8,,0.0,0.4,0.0,0.4,0.0,0.0,
2008-08-15,22.4,,0.0,7.4,0.8,0.2,0.4,0.0,
2008-08-16,0.0,,0.0,0.0,0.0,0.2,0.0,0.0,
2008-08-17,0.0,,0.0,0.0,0.0,0.2,0.0,0.0,
2008-08-18,0.0,50.0,0.0,0.0,0.0,0.2,0.0,0.0,
2008-08-19,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
